Year,Spp_grouping,Habitat,Total_percent,Mean_perc_cov,N
2005,Abiotic,Fringing,3092,10.306666666666667,350
2005,Abiotic,Outer 10,80,0.26666666666666666,250
2005,Abiotic,Outer 17,364,1.2133333333333334,250
2005,Ascidian,Fringing,4,0.013333333333333334,50
2005,Crustose_corallines,Fringing,188,0.6266666666666667,300
2005,Crustose_corallines,Outer 10,2692,8.973333333333333,350
2005,Crustose_corallines,Outer 17,2996,9.986666666666666,350
2005,Fire_coral,Fringing,48,0.16,50
2005,Fire_coral,Outer 10,332,1.1066666666666667,100
2005,Fire_coral,Outer 17,136,0.4533333333333333,200
2005,Hard_coral,Fringing,10000,33.333333333333336,300
2005,Hard_coral,Outer 10,9128,30.426666666666666,250
2005,Hard_coral,Outer 17,9716,32.38666666666666,250
2005,Macroalgae,Fringing,1976,6.586666666666667,750
2005,Macroalgae,Outer 10,1640,5.466666666666667,600
2005,Macroalgae,Outer 17,1972,6.573333333333333,650
2005,Soft_coral,Outer 17,20,0.06666666666666667,100
2005,Sponge,Outer 10,8,0.02666666666666667,50
2005,Turf,Fringing,14692,48.973333333333336,550
2005,Turf,Outer 10,11120,37.06666666666667,250
2005,Turf,Outer 17,9796,32.653333333333336,250
2006,Abiotic,Backreef,7164,23.88,350
2006,Abiotic,Outer 10,44,0.14666666666666667,50
2006,Abiotic,Outer 17,236,0.7866666666666666,50
2006,Crustose_corallines,Backreef,212,0.7066666666666667,300
2006,Crustose_corallines,Outer 10,800,2.6666666666666665,100
2006,Crustose_corallines,Outer 17,1532,5.1066666666666665,100
2006,Fire_coral,Outer 17,0,0,50
2006,Hard_coral,Backreef,8840,29.466666666666665,300
2006,Hard_coral,Outer 10,2072,6.906666666666666,50
2006,Hard_coral,Outer 17,1536,5.12,50
2006,Macroalgae,Backreef,1020,3.4,600
2006,Macroalgae,Outer 10,56,0.18666666666666668,150
2006,Macroalgae,Outer 17,96,0.32,100
2006,Turf,Backreef,12764,42.54666666666667,450
2006,Turf,Outer 10,2028,6.76,50
2006,Turf,Outer 17,1600,5.333333333333333,50
2007,Abiotic,Backreef,7036,23.453333333333333,350
2007,Abiotic,Fringing,4348,14.493333333333334,350
2007,Abiotic,Outer 10,156,0.52,300
2007,Abiotic,Outer 17,792,2.64,300
2007,Ascidian,Fringing,0,0,50
2007,Corallimorpharia,Fringing,44,0.14666666666666667,100
2007,Crustose_corallines,Backreef,244,0.8133333333333334,300
2007,Crustose_corallines,Fringing,224,0.7466666666666667,300
2007,Crustose_corallines,Outer 10,3108,10.36,600
2007,Crustose_corallines,Outer 17,3912,13.04,550
2007,Cyanophyta,Fringing,12,0.04,50
2007,Fire_coral,Fringing,72,0.24,50
2007,Fire_coral,Outer 10,516,1.72,250
2007,Fire_coral,Outer 17,108,0.36,200
2007,Hard_coral,Backreef,9208,30.69333333333333,300
2007,Hard_coral,Fringing,9564,31.88,300
2007,Hard_coral,Outer 10,9512,31.706666666666667,300
2007,Hard_coral,Outer 17,9732,32.44,300
2007,Macroalgae,Backreef,676,2.2533333333333334,850
2007,Macroalgae,Fringing,1512,5.04,700
2007,Macroalgae,Outer 10,1840,6.133333333333334,900
2007,Macroalgae,Outer 17,2744,9.1466666666666665,1100
2007,Soft_coral,Outer 10,28,0.09333333333333334,100
2007,Soft_coral,Outer 17,36,0.12,100
2007,Sponge,Fringing,40,0.13333333333333333,100
2007,Sponge,Outer 10,0,0,50
2007,Turf,Backreef,12836,42.78666666666667,450
2007,Turf,Fringing,14184,47.28,450
2007,Turf,Outer 10,14840,49.46666666666667,300
2007,Turf,Outer 17,12676,42.25333333333333,300
2008,Abiotic,Backreef,6504,21.68,421
2008,Abiotic,Fringing,4052,13.506666666666666,464
2008,Abiotic,Outer 10,168,0.56,300
2008,Abiotic,Outer 17,932,3.1066666666666665,298
2008,Ascidian,Backreef,12,0.04,50
2008,Ascidian,Fringing,28,0.09333333333333334,61
2008,Corallimorpharia,Backreef,16,0.05333333333333334,50
2008,Corallimorpharia,Fringing,68,0.22666666666666666,118
2008,Crustose_corallines,Backreef,544,1.8133333333333332,350
2008,Crustose_corallines,Fringing,356,1.1866666666666668,300
2008,Crustose_corallines,Outer 10,3740,12.466666666666667,600
2008,Crustose_corallines,Outer 17,5000,16.666666666666668,596
2008,Cyanophyta,Backreef,220,0.7333333333333333,300
2008,Cyanophyta,Fringing,332,1.1066666666666667,200
2008,Cyanophyta,Outer 10,224,0.7466666666666667,200
2008,Cyanophyta,Outer 17,88,0.29333333333333333,149
2008,Fire_coral,Fringing,88,0.29333333333333333,50
2008,Fire_coral,Outer 10,688,2.2933333333333334,111
2008,Fire_coral,Outer 17,124,0.41333333333333333,107
2008,Hard_coral,Backreef,8840,29.466666666666665,300
2008,Hard_coral,Fringing,9704,32.346666666666664,300
