Year,Spp_grouping,Site,Total_percent,Mean_perc_cov,N
2005,Abiotic,LTER 1,648,3.24,150
2005,Abiotic,LTER 2,140,0.7,150
2005,Abiotic,LTER 3,660,3.3,150
2005,Abiotic,LTER 4,1152,5.76,200
2005,Abiotic,LTER 5,924,4.62,150
2005,Abiotic,LTER 6,12,0.06,50
2005,Ascidian,LTER 1,4,0.02,50
2005,Crustose_corallines,LTER 1,640,3.2,150
2005,Crustose_corallines,LTER 2,676,3.38,150
2005,Crustose_corallines,LTER 3,1280,6.4,150
2005,Crustose_corallines,LTER 4,1564,7.82,250
2005,Crustose_corallines,LTER 5,1716,8.58,250
2005,Crustose_corallines,LTER 6,0,0,50
2005,Fire_coral,LTER 2,304,1.52,150
2005,Fire_coral,LTER 3,0,0,50
2005,Fire_coral,LTER 4,164,0.82,100
2005,Fire_coral,LTER 5,48,0.24,50
2005,Hard_coral,LTER 1,6408,32.04,150
2005,Hard_coral,LTER 2,4476,22.38,150
2005,Hard_coral,LTER 3,4496,22.48,150
2005,Hard_coral,LTER 4,5340,26.7,150
2005,Hard_coral,LTER 5,6016,30.08,150
2005,Hard_coral,LTER 6,2108,10.54,50
2005,Macroalgae,LTER 1,720,3.6,450
2005,Macroalgae,LTER 2,1476,7.38,400
2005,Macroalgae,LTER 3,1500,7.5,400
2005,Macroalgae,LTER 4,88,0.44,150
2005,Macroalgae,LTER 5,276,1.38,300
2005,Macroalgae,LTER 6,1528,7.64,300
2005,Soft_coral,LTER 4,8,0.04,50
2005,Soft_coral,LTER 5,12,0.06,50
2005,Sponge,LTER 1,8,0.04,50
2005,Turf,LTER 1,6572,32.86,150
2005,Turf,LTER 2,7928,39.64,200
2005,Turf,LTER 3,7064,35.32,200
2005,Turf,LTER 4,6684,33.42,200
2005,Turf,LTER 5,6008,30.04,200
2005,Turf,LTER 6,1352,6.76,100
2006,Abiotic,LTER 1,736,3.68,50
2006,Abiotic,LTER 2,1288,6.44,50
2006,Abiotic,LTER 3,1484,7.42,50
2006,Abiotic,LTER 4,472,2.36,100
2006,Abiotic,LTER 5,1412,7.06,50
2006,Abiotic,LTER 6,2052,10.26,150
2006,Crustose_corallines,LTER 1,92,0.46,50
2006,Crustose_corallines,LTER 2,52,0.26,50
2006,Crustose_corallines,LTER 3,8,0.04,50
2006,Crustose_corallines,LTER 4,8,0.04,50
2006,Crustose_corallines,LTER 5,32,0.16,50
2006,Crustose_corallines,LTER 6,2352,11.76,250
2006,Fire_coral,LTER 6,0,0,50
2006,Hard_coral,LTER 1,1552,7.76,50
2006,Hard_coral,LTER 2,1444,7.22,50
2006,Hard_coral,LTER 3,1836,9.18,50
2006,Hard_coral,LTER 4,1632,8.16,50
2006,Hard_coral,LTER 5,1396,6.98,50
2006,Hard_coral,LTER 6,4588,22.94,150
2006,Macroalgae,LTER 1,276,1.38,100
2006,Macroalgae,LTER 2,640,3.2,150
2006,Macroalgae,LTER 3,56,0.28,50
2006,Macroalgae,LTER 4,0,0,50
2006,Macroalgae,LTER 5,24,0.12,100
2006,Macroalgae,LTER 6,176,0.88,400
2006,Turf,LTER 1,2344,11.72,50
2006,Turf,LTER 2,1576,7.88,50
2006,Turf,LTER 3,1616,8.08,100
2006,Turf,LTER 4,2888,14.44,100
2006,Turf,LTER 5,2136,10.68,50
2006,Turf,LTER 6,5832,29.16,200
2007,Abiotic,LTER 1,1296,6.48,200
2007,Abiotic,LTER 2,1256,6.28,200
2007,Abiotic,LTER 3,2996,14.98,200
2007,Abiotic,LTER 4,1916,9.58,300
2007,Abiotic,LTER 5,2548,12.74,200
2007,Abiotic,LTER 6,2320,11.6,200
2007,Ascidian,LTER 1,0,0,50
2007,Corallimorpharia,LTER 4,12,0.06,50
2007,Corallimorpharia,LTER 5,32,0.16,50
2007,Crustose_corallines,LTER 1,740,3.7,250
2007,Crustose_corallines,LTER 2,952,4.76,300
2007,Crustose_corallines,LTER 3,1296,6.48,300
2007,Crustose_corallines,LTER 4,1068,5.34,300
2007,Crustose_corallines,LTER 5,1408,7.04,300
2007,Crustose_corallines,LTER 6,2024,10.12,300
2007,Cyanophyta,LTER 5,12,0.06,50
2007,Fire_coral,LTER 1,76,0.38,50
2007,Fire_coral,LTER 2,220,1.1,150
2007,Fire_coral,LTER 3,4,0.02,50
2007,Fire_coral,LTER 4,260,1.3,100
2007,Fire_coral,LTER 5,76,0.38,50
2007,Fire_coral,LTER 6,60,0.3,100
2007,Hard_coral,LTER 1,7576,37.88,200
2007,Hard_coral,LTER 2,4156,20.78,200
2007,Hard_coral,LTER 3,5992,29.96,200
2007,Hard_coral,LTER 4,6396,31.98,200
2007,Hard_coral,LTER 5,7924,39.62,200
2007,Hard_coral,LTER 6,5972,29.86,200
2007,Macroalgae,LTER 1,1316,6.58,700
2007,Macroalgae,LTER 2,1776,8.88,600
2007,Macroalgae,LTER 3,1360,6.8,600
2007,Macroalgae,LTER 4,684,3.42,400
2007,Macroalgae,LTER 5,284,1.42,450
2007,Macroalgae,LTER 6,1352,6.76,800
2007,Soft_coral,LTER 4,16,0.08,100
2007,Soft_coral,LTER 5,48,0.24,100
2007,Sponge,LTER 1,0,0,50
2007,Sponge,LTER 5,24,0.12,50
2007,Sponge,LTER 6,16,0.08,50
2007,Turf,LTER 1,8996,44.98,200
2007,Turf,LTER 2,11640,58.2,250
2007,Turf,LTER 3,8352,41.76,300
2007,Turf,LTER 4,9648,48.24,300
2007,Turf,LTER 5,7644,38.22,200
2007,Turf,LTER 6,8256,41.28,250
2008,Abiotic,LTER 1,1084,5.42,250
2008,Abiotic,LTER 2,1320,6.6,249
2008,Abiotic,LTER 3,1996,9.98,300
2008,Abiotic,LTER 4,2536,12.68,258
2008,Abiotic,LTER 5,2292,11.46,213
2008,Abiotic,LTER 6,2428,12.14,213
2008,Ascidian,LTER 2,32,0.16,100
2008,Ascidian,LTER 6,8,0.04,11
2008,Corallimorpharia,LTER 1,8,0.04,50
2008,Corallimorpharia,LTER 2,16,0.08,50
2008,Corallimorpharia,LTER 3,16,0.08,50
2008,Corallimorpharia,LTER 5,16,0.08,7
2008,Corallimorpharia,LTER 6,28,0.14,11
2008,Crustose_corallines,LTER 1,1388,6.94,300
2008,Crustose_corallines,LTER 2,1352,6.76,298
2008,Crustose_corallines,LTER 3,1764,8.82,350
2008,Crustose_corallines,LTER 4,1484,7.42,300
2008,Crustose_corallines,LTER 5,1996,9.98,298
2008,Crustose_corallines,LTER 6,1656,8.28,300
2008,Cyanophyta,LTER 1,32,0.16,100
2008,Cyanophyta,LTER 2,44,0.22,50
2008,Cyanophyta,LTER 3,172,0.86,200
2008,Cyanophyta,LTER 4,360,1.8,150
2008,Cyanophyta,LTER 5,148,0.74,149
2008,Cyanophyta,LTER 6,108,0.54,200
2008,Fire_coral,LTER 1,124,0.62,100
2008,Fire_coral,LTER 2,252,1.26,149
2008,Fire_coral,LTER 4,340,1.7,8
2008,Fire_coral,LTER 5,144,0.72,9
2008,Fire_coral,LTER 6,40,0.2,2
2008,Hard_coral,LTER 1,6264,31.32,200
2008,Hard_coral,LTER 2,3808,19.04,199
2008,Hard_coral,LTER 3,4420,22.1,200
2008,Hard_coral,LTER 4,5586,27.93,200
2008,Hard_coral,LTER 5,7248,36.24,199
2008,Hard_coral,LTER 6,4228,21.14,200
2008,Macroalgae,LTER 1,1632,8.16,850
2008,Macroalgae,LTER 2,1900,9.5,996
2008,Macroalgae,LTER 3,2608,13.04,800
2008,Macroalgae,LTER 4,864,4.32,750
2008,Macroalgae,LTER 5,1516,7.58,895
2008,Macroalgae,LTER 6,2836,14.18,1400
2008,No_data,LTER 2,-1,-0.005,1
2008,No_data,LTER 5,-1,-0.005,1
2008,Soft_coral,LTER 3,4,0.02,50
2008,Soft_coral,LTER 4,24,0.12,25
2008,Soft_coral,LTER 5,40,0.2,9
2008,Sponge,LTER 5,32,0.16,7
2008,Sponge,LTER 6,44,0.22,11
2008,Turf,LTER 1,9468,47.34,250
2008,Turf,LTER 2,11176,55.88,299
2008,Turf,LTER 3,9020,45.1,250
2008,Turf,LTER 4,8806,44.03,200
2008,Turf,LTER 5,6468,32.34,199
2008,Turf,LTER 6,8624,43.12,200
2009,Abiotic,LTER 1,1028,5.14,200
2009,Abiotic,LTER 2,1020,5.1,200
2009,Abiotic,LTER 3,1912,9.56,200
2009,Abiotic,LTER 4,1920,9.6,196
2009,Abiotic,LTER 5,2156,10.78,195
2009,Abiotic,LTER 6,2044,10.22,200
2009,Corallimorpharia,LTER 1,12,0.06,50
2009,Corallimorpharia,LTER 2,20,0.1,100
2009,Corallimorpharia,LTER 5,16,0.08,45
2009,Corallimorpharia,LTER 6,48,0.24,50
2009,Crustose_corallines,LTER 1,2054,10.27,300
2009,Crustose_corallines,LTER 2,2024,10.12,300
2009,Crustose_corallines,LTER 3,2120,10.6,250
