Year,Taxonomy,Habitat,Total_abund,N,Mean_abund_per_m2
2007,Acanthaster planci,Backreef,1,120,0.008333333333333333
2007,Acanthaster planci,Fringing,0,120,0
2007,Acanthaster planci,Outer 10,1,120,0.008333333333333333
2007,Acanthaster planci,Outer 17,3,120,0.025
2007,Culcita novaeguineae,Backreef,1,120,0.008333333333333333
2007,Culcita novaeguineae,Fringing,1,120,0.008333333333333333
2007,Culcita novaeguineae,Outer 10,0,120,0
2007,Culcita novaeguineae,Outer 17,0,120,0
2007,Diadema savignyi,Backreef,235,120,1.9583333333333333
2007,Diadema savignyi,Fringing,1,120,0.008333333333333333
2007,Diadema savignyi,Outer 10,0,120,0
2007,Diadema savignyi,Outer 17,2,120,0.016666666666666666
2007,Diadema setosum,Backreef,1,120,0.008333333333333333
2007,Diadema setosum,Fringing,15,120,0.125
2007,Diadema setosum,Outer 10,0,120,0
2007,Diadema setosum,Outer 17,0,120,0
2007,Echinometra mathaei,Backreef,446,120,3.716666666666667
2007,Echinometra mathaei,Fringing,593,120,4.941666666666666
2007,Echinometra mathaei,Outer 10,3,120,0.025
2007,Echinometra mathaei,Outer 17,11,120,0.09166666666666666
2007,Echinometra oblonga,Fringing,2,20,0.016666666666666666
2007,Echinostrephus aciculatus,Backreef,21,120,0.175
2007,Echinostrephus aciculatus,Fringing,0,120,0
2007,Echinostrephus aciculatus,Outer 10,78,120,0.65
2007,Echinostrephus aciculatus,Outer 17,11,120,0.09166666666666666
2007,Echinothrix calamaris,Backreef,3,120,0.025
2007,Echinothrix calamaris,Fringing,6,120,0.05
2007,Echinothrix calamaris,Outer 10,0,120,0
2007,Echinothrix calamaris,Outer 17,0,120,0
2007,Echinothrix diadema,Backreef,9,120,0.075
2007,Echinothrix diadema,Fringing,2,120,0.016666666666666666
2007,Echinothrix diadema,Outer 10,1,120,0.008333333333333333
2007,Echinothrix diadema,Outer 17,2,120,0.016666666666666666
2007,Tectus niloticus,Backreef,0,120,0
2007,Tectus niloticus,Fringing,0,120,0
