Habitat,Date,Cruise,Silicate,Phosphate,Nitrite,Nitrate,Count
Backreef,2005-08-10,LTER bi-annual,0.29,0.2,0.11,0.59,1
Backreef,2005-12-04,LTER bi-annual,0.44,0.09,0.08,0.24,1
Backreef,2006-03-26,LTER bi-annual,0.37,0.16,0.03,0.43000000000000005,1
Backreef,2006-06-17,LTER bi-annual,0.81,0.09,0.07,0.46,1
Backreef,2006-08-27,LTER bi-annual,0.18,0.15,0.07,0.39999999999999997,1
Backreef,2006-12-13,LTER bi-annual,0.85,0.17,0.04,0.21,1
Backreef,2007-03-25,LTER bi-annual,2.81,0.19,0.07,1.22,1
Backreef,2007-08-20,LTER bi-annual,1.39,0.15,0.06,0.22999999999999998,1
Backreef,2008-01-12,LTER bi-annual,1.45,0.14,0.13,0.27999999999999997,1
Backreef,2008-08-25,LTER bi-annual,0.46,0.21,0.25,0.62,1
Backreef,2009-01-11,LTER bi-annual,0.5,0.24,0.09,0.43000000000000005,1
Backreef,2009-07-27,LTER bi-annual,0.48,0.19,0.07,0.6799999999999999,1
Backreef,2010-01-18,LTER bi-annual,0.73,0.24,0.2,0.5800000000000001,1
Backreef,2010-08-17,LTER bi-annual,0.83,0.15,0.13,0.37,1
Backreef,2011-01-17,LTER bi-annual,0.74,0.14,0.05,0.21000000000000002,1
Backreef,2011-07-24,LTER bi-annual,0.86,0.23,0.1,0.31999999999999995,1
Backreef,2012-01-19,LTER bi-annual,0.91,0.25,0.2,0.42,1
Backreef,2012-08-14,LTER bi-annual,0.36,0.15,0.05,0.34,1
Backreef,2013-01-16,LTER bi-annual,0.74,0.17,0.05,0.3,1
Backreef,2013-08-23,LTER bi-annual,0.85,0.18,0.11,0.76,1
Backreef,2014-01-22,LTER bi-annual,0.81,0.16,0.09,0.56,2
Backreef,2014-08-21,LTER bi-annual,0.18,0.13,0.1,0.36,1
Backreef,2015-01-29,LTER bi-annual,0.73,0.15,0.07,0.10999999999999999,1
Backreef,2015-08-20,LTER bi-annual,2.22,0.13,0.09,0.56,1
Backreef,2016-01-22,LTER bi-annual,1.26,0.1,0.05,0.26,1
Backreef,2016-08-24,LTER bi-annual,0.97,0.15,0.05,0.12000000000000001,1
Backreef,2017-01-09,LTER bi-annual,0.8,0.09,0,0.01,1
Backreef,2017-01-16,LTER bi-annual,1.1,0.17,0.09,0.04000000000000001,1
