Year,Site,Shannon_index,Species_richness
2005,LTER 1,1.1185273935898976,5
2005,LTER 2,1.0854293254583887,4
2005,LTER 3,0.9854847511982479,3
2005,LTER 4,0,1
2005,LTER 5,0.6982200279466675,4
2005,LTER 6,1.5849007605699252,6
2006,LTER 1,0.07575108500341506,2
2006,LTER 2,0.7251724426209417,3
2006,LTER 3,0,1
2006,LTER 4,0,0
2006,LTER 5,0.6931471805599453,2
2006,LTER 6,0.8945202355256241,3
2007,LTER 1,0.8223690280747439,4
2007,LTER 2,1.4212845011319395,6
2007,LTER 3,1.2639715300752166,6
2007,LTER 4,0.7279279543055944,5
2007,LTER 5,0.3629566377779918,4
2007,LTER 6,0.8673251323821947,7
2008,LTER 1,1.2985571211456561,11
2008,LTER 2,1.3940395975568738,13
2008,LTER 3,1.1763874883956187,8
2008,LTER 4,0.9519452313234839,7
2008,LTER 5,1.4774088961589378,12
2008,LTER 6,1.8812716962196707,19
2009,LTER 1,1.32320290760226,12
2009,LTER 2,1.6667408975943405,11
2009,LTER 3,0.8938447791532801,6
2009,LTER 4,0.767486206012037,7
2009,LTER 5,1.4572734614312364,8
2009,LTER 6,1.5782269169043683,14
2010,LTER 1,1.6995924958040067,9
2010,LTER 2,1.681126029552782,9
2010,LTER 3,0.948818685327341,8
2010,LTER 4,1.3525307621055114,11
2010,LTER 5,1.4015958207930492,8
2010,LTER 6,1.4778271321475485,14
2011,LTER 1,1.888828753895261,14
2011,LTER 2,1.6703258272223134,12
2011,LTER 3,1.5506056659535925,9
2011,LTER 4,1.571138052768513,13
2011,LTER 5,1.8959972919182455,15
2011,LTER 6,2.1880045000315316,18
2012,LTER 1,1.9990976058546874,11
2012,LTER 2,1.7300636256221709,12
2012,LTER 3,1.614640865077233,15
2012,LTER 4,1.6665897604182074,13
2012,LTER 5,1.4709184901671835,9
2012,LTER 6,1.9836712976104136,19
2013,LTER 1,1.6186320277909847,11
2013,LTER 2,1.5866785129184457,10
2013,LTER 3,1.6182404947256024,10
2013,LTER 4,1.513032281342946,13
2013,LTER 5,1.5617060139085497,12
2013,LTER 6,1.5347982781959888,15
2014,LTER 1,1.7406866949808246,12
2014,LTER 2,1.4140401342776667,11
2014,LTER 3,1.6399056200619009,14
2014,LTER 4,2.0047855428422077,15
2014,LTER 5,2.1924856650938067,13
2014,LTER 6,1.9133740388684375,17
2015,LTER 1,1.6436763484350065,10
2015,LTER 2,1.5187690183789844,14
2015,LTER 3,1.5500429976831165,16
2015,LTER 4,1.606979093435202,12
2015,LTER 5,2.4115053395117414,20
2015,LTER 6,1.9988506325760436,18
2016,LTER 1,1.8545658898445647,15
2016,LTER 2,1.529780326510456,16
2016,LTER 3,1.8354999358774553,17
2016,LTER 4,1.9248552075285363,16
2016,LTER 5,1.886550346391988,9
2016,LTER 6,1.4138011022226815,11
2017,LTER 1,1.5799770948846004,13
2017,LTER 2,1.3406943401242486,11
2017,LTER 3,1.3991642777145812,11
2017,LTER 4,1.2805353138572664,5
2017,LTER 5,1.5824210861612937,7
2017,LTER 6,1.6033717642017857,9
2018,LTER 1,1.6306371682061673,8
2018,LTER 2,1.0513559462481765,10
2018,LTER 3,1.225361358451244,9
2018,LTER 4,1.5689459612188745,7
2018,LTER 5,1.8451204451425243,8
2018,LTER 6,1.6608950290913038,7
2019,LTER 1,1.6265319187648326,10
2019,LTER 2,1.2836769590033326,10
2019,LTER 3,1.2168182650140749,10
2019,LTER 4,1.5772561593637446,7
2019,LTER 5,1.7614895201534235,8
2019,LTER 6,1.5346118120682475,9
2020,LTER 1,1.6040306247966385,11
2020,LTER 2,1.4751863716334805,9
2020,LTER 3,1.3827270733275623,9
2020,LTER 4,1.571402451247007,9
2020,LTER 5,1.543067657022063,8
2020,LTER 6,1.5520274762197632,9
