Year,Fine_Trophic,Habitat,Total_count,Total_biomass_kg,N,Max_N
2006,Benthic Invertebrate Consumer,BA,1022,28.36486,566,566
2006,Benthic Invertebrate Consumer,FO,2740,29.55494,977,977
2006,Benthic Invertebrate Consumer,FR,1080,46.24463,512,512
2006,Corallivore,BA,361,14.80307,202,202
2006,Corallivore,FO,839,17.91241,303,303
2006,Corallivore,FR,584,28.37448,309,309
2006,Fish Scale Consumer,BA,1,0.0056,1,1
2006,Fish Scale Consumer,FO,1,3e-4,1,1
2006,Herbivore/Detritivore,BA,2383,142.57048,462,462
2006,Herbivore/Detritivore,FO,2420,170.12284,660,660
2006,Herbivore/Detritivore,FR,1730,68.51556,514,514
2006,Omnivore,BA,658,19.33093,266,266
2006,Omnivore,FO,4070,55.51584,726,726
2006,Omnivore,FR,1535,31.57632,446,446
2006,Piscivore,BA,48,9.267869999999998,46,46
2006,Piscivore,FO,407,100.77699000000001,304,304
2006,Piscivore,FR,159,22.59281,108,108
2006,Planktivore_exclusively,BA,4,0.1549,3,3
2006,Planktivore_exclusively,FO,4991,22.0032,133,133
2006,Planktivore_exclusively,FR,102,3.9082,56,56
2007,Benthic Invertebrate Consumer,BA,1146,23.106150000000003,614,614
2007,Benthic Invertebrate Consumer,FO,2357,25.255200000000002,963,963
2007,Benthic Invertebrate Consumer,FR,995,54.40396,516,516
2007,Corallivore,BA,306,11.933549999999999,149,149
2007,Corallivore,FO,466,10.70686,220,220
2007,Corallivore,FR,539,30.46254,255,255
2007,Fish Scale Consumer,BA,2,0.0030299999999999997,1,1
2007,Fish Scale Consumer,FO,28,0.0341,17,17
2007,Herbivore/Detritivore,BA,1539,73.36427,400,400
2007,Herbivore/Detritivore,FO,2305,176.52041,649,649
2007,Herbivore/Detritivore,FR,1492,57.87943,549,549
2007,Omnivore,BA,1183,16.11316,327,327
2007,Omnivore,FO,3285,41.205330000000004,669,669
2007,Omnivore,FR,1808,22.74607,448,448
2007,Piscivore,BA,28,44.74165,28,28
2007,Piscivore,FO,282,62.47504,231,231
2007,Piscivore,FR,125,29.22101,109,109
2007,Planktivore_exclusively,BA,27,0.27111,9,9
2007,Planktivore_exclusively,FO,3615,8.8248,143,143
2007,Planktivore_exclusively,FR,118,6.15049,62,62
2008,Benthic Invertebrate Consumer,BA,946,15.02434,533,533
2008,Benthic Invertebrate Consumer,FO,2834,28.93702,975,975
2008,Benthic Invertebrate Consumer,FR,920,31.51098,492,492
2008,Corallivore,BA,325,8.67908,161,161
2008,Corallivore,FO,515,6.7903400000000005,205,205
2008,Corallivore,FR,726,18.77534,332,332
2008,Fish Scale Consumer,FO,20,0.04264,17,17
2008,Herbivore/Detritivore,BA,3186,144.05468,450,450
2008,Herbivore/Detritivore,FO,2881,89.35145,793,793
2008,Herbivore/Detritivore,FR,1960,40.4841,584,584
2008,Omnivore,BA,716,8.74651,256,256
2008,Omnivore,FO,4225,29.2718,672,672
2008,Omnivore,FR,1866,17.87847,445,445
2008,Piscivore,BA,64,2.10534,44,44
2008,Piscivore,FO,316,24.548599999999997,242,242
2008,Piscivore,FR,155,25.81943,111,111
2008,Planktivore_exclusively,BA,250,1.5990900000000001,11,11
2008,Planktivore_exclusively,FO,3840,9.61073,145,145
2008,Planktivore_exclusively,FR,411,4.40154,57,57
2009,Benthic Invertebrate Consumer,BA,1075,20.86748,627,627
2009,Benthic Invertebrate Consumer,FO,3634,100.91593,1052,1052
2009,Benthic Invertebrate Consumer,FR,1217,38.29603,573,573
2009,Corallivore,BA,286,8.29495,159,159
2009,Corallivore,FO,300,4.85732,144,144
2009,Corallivore,FR,689,23.41801,335,335
2009,Fish Scale Consumer,FO,19,0.03766,16,16
2009,Fish Scale Consumer,FR,1,9.699999999999999e-4,1,1
2009,Herbivore/Detritivore,BA,1765,63.257400000000004,551,551
2009,Herbivore/Detritivore,FO,4440,226.68917000000002,833,833
2009,Herbivore/Detritivore,FR,1805,52.32503,662,662
2009,Omnivore,BA,874,11.135819999999999,283,283
2009,Omnivore,FO,4450,160.58002000000002,642,642
2009,Omnivore,FR,2282,24.990740000000002,489,489
2009,Piscivore,BA,45,137.21419,41,41
2009,Piscivore,FO,430,124.25605999999999,310,310
2009,Piscivore,FR,175,48.94357,92,92
2009,Planktivore_exclusively,BA,57,0.6474399999999999,18,18
2009,Planktivore_exclusively,FO,4042,399.95477,150,150
2009,Planktivore_exclusively,FR,183,2.27669,54,54
2010,Benthic Invertebrate Consumer,BA,1298,19.56586,594,594
2010,Benthic Invertebrate Consumer,FO,2797,76.83194,884,884
2010,Benthic Invertebrate Consumer,FR,1128,24.078290000000003,526,526
2010,Corallivore,BA,263,9.775120000000001,142,142
2010,Corallivore,FO,95,1.95388,53,53
2010,Corallivore,FR,580,25.06931,285,285
2010,Fish Scale Consumer,BA,4,0.01634,4,4
2010,Fish Scale Consumer,FO,29,0.03578,16,16
2010,Fish Scale Consumer,FR,1,9.699999999999999e-4,1,1
2010,Herbivore/Detritivore,BA,1852,77.84176,381,381
2010,Herbivore/Detritivore,FO,3700,221.51611000000003,629,629
2010,Herbivore/Detritivore,FR,2369,75.18647,636,636
2010,Omnivore,BA,909,10.454379999999999,275,275
2010,Omnivore,FO,2063,22.72399,488,488
2010,Omnivore,FR,2432,22.461830000000003,435,435
2010,Piscivore,BA,32,20.95463,29,29
2010,Piscivore,FO,301,135.05873,222,222
2010,Piscivore,FR,180,25.86915,105,105
2010,Planktivore_exclusively,BA,40,0.2935,15,15
2010,Planktivore_exclusively,FO,7027,22.88035,204,204
2010,Planktivore_exclusively,FR,200,2.18017,62,62
