Year,Taxonomy,Site,Total_abund,N,Mean_abund_per_m2
2007,Acanthaster planci,LTER 1,0,80,0
2007,Acanthaster planci,LTER 2,2,80,0.025
2007,Acanthaster planci,LTER 3,2,80,0.025
2007,Acanthaster planci,LTER 4,0,80,0
2007,Acanthaster planci,LTER 5,1,80,0.0125
2007,Acanthaster planci,LTER 6,0,80,0
2007,Culcita novaeguineae,LTER 1,1,80,0.0125
2007,Culcita novaeguineae,LTER 2,0,80,0
2007,Culcita novaeguineae,LTER 3,0,80,0
2007,Culcita novaeguineae,LTER 4,0,80,0
2007,Culcita novaeguineae,LTER 5,0,80,0
2007,Culcita novaeguineae,LTER 6,1,80,0.0125
2007,Diadema savignyi,LTER 1,0,80,0
2007,Diadema savignyi,LTER 2,1,80,0.0125
2007,Diadema savignyi,LTER 3,22,80,0.275
2007,Diadema savignyi,LTER 4,209,80,2.6125
2007,Diadema savignyi,LTER 5,6,80,0.075
2007,Diadema savignyi,LTER 6,0,80,0
2007,Diadema setosum,LTER 1,2,80,0.025
2007,Diadema setosum,LTER 2,0,80,0
2007,Diadema setosum,LTER 3,5,80,0.0625
2007,Diadema setosum,LTER 4,9,80,0.1125
2007,Diadema setosum,LTER 5,0,80,0
2007,Diadema setosum,LTER 6,0,80,0
2007,Echinometra mathaei,LTER 1,325,80,4.0625
2007,Echinometra mathaei,LTER 2,231,80,2.8875
2007,Echinometra mathaei,LTER 3,253,80,3.1625
2007,Echinometra mathaei,LTER 4,119,80,1.4875
2007,Echinometra mathaei,LTER 5,93,80,1.1625
2007,Echinometra mathaei,LTER 6,32,80,0.4
2007,Echinometra oblonga,LTER 1,2,20,0.025
2007,Echinostrephus aciculatus,LTER 1,37,80,0.4625
2007,Echinostrephus aciculatus,LTER 2,5,80,0.0625
2007,Echinostrephus aciculatus,LTER 3,0,80,0
2007,Echinostrephus aciculatus,LTER 4,3,80,0.0375
2007,Echinostrephus aciculatus,LTER 5,59,80,0.7375
2007,Echinostrephus aciculatus,LTER 6,6,80,0.075
2007,Echinothrix calamaris,LTER 1,2,80,0.025
2007,Echinothrix calamaris,LTER 2,0,80,0
2007,Echinothrix calamaris,LTER 3,5,80,0.0625
2007,Echinothrix calamaris,LTER 4,2,80,0.025
2007,Echinothrix calamaris,LTER 5,0,80,0
2007,Echinothrix calamaris,LTER 6,0,80,0
2007,Echinothrix diadema,LTER 1,5,80,0.0625
2007,Echinothrix diadema,LTER 2,2,80,0.025
2007,Echinothrix diadema,LTER 3,2,80,0.025
2007,Echinothrix diadema,LTER 4,0,80,0
2007,Echinothrix diadema,LTER 5,4,80,0.05
2007,Echinothrix diadema,LTER 6,1,80,0.0125
2007,Tectus niloticus,LTER 1,0,80,0
2007,Tectus niloticus,LTER 2,0,80,0
2007,Tectus niloticus,LTER 3,0,80,0
2007,Tectus niloticus,LTER 4,1,80,0.0125
2007,Tectus niloticus,LTER 5,0,80,0
2007,Tectus niloticus,LTER 6,4,80,0.05
2008,Acanthaster planci,LTER 1,4,60,0.05
2008,Acanthaster planci,LTER 3,3,40,0.0375
2008,Acanthaster planci,LTER 4,1,20,0.0125
2008,Culcita novaeguineae,LTER 6,1,20,0.0125
2008,Diadema savignyi,LTER 1,1,20,0.0125
2008,Diadema savignyi,LTER 3,25,60,0.3125
2008,Diadema savignyi,LTER 4,234,60,2.925
2008,Diadema savignyi,LTER 5,1,40,0.0125
2008,Diadema savignyi,LTER 6,2,40,0.025
2008,Echinometra mathaei,LTER 1,192,60,2.4
2008,Echinometra mathaei,LTER 2,182,80,2.275
2008,Echinometra mathaei,LTER 3,249,60,3.1125
2008,Echinometra mathaei,LTER 4,39,40,0.4875
2008,Echinometra mathaei,LTER 5,78,40,0.975
2008,Echinometra mathaei,LTER 6,28,60,0.35
2008,Echinostrephus aciculatus,LTER 1,42,60,0.525
2008,Echinostrephus aciculatus,LTER 2,8,40,0.1
2008,Echinostrephus aciculatus,LTER 3,1,20,0.0125
2008,Echinostrephus aciculatus,LTER 4,8,40,0.1
2008,Echinostrephus aciculatus,LTER 5,75,60,0.9375
2008,Echinostrephus aciculatus,LTER 6,1,20,0.0125
2008,Echinothrix diadema,LTER 1,8,40,0.1
2008,Echinothrix diadema,LTER 2,1,20,0.0125
2008,Echinothrix diadema,LTER 3,13,40,0.1625
2008,Echinothrix diadema,LTER 4,1,20,0.0125
2008,Echinothrix diadema,LTER 5,2,20,0.025
2008,Echinothrix diadema,LTER 6,3,20,0.0375
2008,Tectus niloticus,LTER 1,1,20,0.0125
2009,Acanthaster planci,LTER 1,1,1,0.0125
2009,Acanthaster planci,LTER 3,1,1,0.0125
2009,Acanthaster planci,LTER 4,1,1,0.0125
2009,Acanthaster planci,LTER 5,1,1,0.0125
2009,Diadema savignyi,LTER 1,15,60,0.1875
2009,Diadema savignyi,LTER 2,12,80,0.15
2009,Diadema savignyi,LTER 3,32,80,0.4
2009,Diadema savignyi,LTER 4,180,60,2.25
2009,Diadema savignyi,LTER 5,5,40,0.0625
2009,Diadema savignyi,LTER 6,35,40,0.4375
2009,Echinometra mathaei,LTER 1,210,80,2.625
2009,Echinometra mathaei,LTER 2,151,80,1.8875
2009,Echinometra mathaei,LTER 3,318,80,3.975
2009,Echinometra mathaei,LTER 4,27,60,0.3375
2009,Echinometra mathaei,LTER 5,131,80,1.6375
2009,Echinometra mathaei,LTER 6,23,80,0.2875
2009,Echinostrephus aciculatus,LTER 1,38,60,0.475
2009,Echinostrephus aciculatus,LTER 2,16,40,0.2
2009,Echinostrephus aciculatus,LTER 3,2,40,0.025
2009,Echinostrephus aciculatus,LTER 4,6,40,0.075
2009,Echinostrephus aciculatus,LTER 5,80,60,1
2009,Echinostrephus aciculatus,LTER 6,6,40,0.075
2009,Echinothrix diadema,LTER 1,10,60,0.125
2009,Echinothrix diadema,LTER 2,1,20,0.0125
2009,Echinothrix diadema,LTER 3,16,40,0.2
2009,Echinothrix diadema,LTER 4,9,60,0.1125
2009,Echinothrix diadema,LTER 6,1,20,0.0125
2009,Tectus niloticus,LTER 1,1,1,0.0125
2009,Tectus niloticus,LTER 2,1,20,0.0125
2009,Tectus niloticus,LTER 6,1,1,0.0125
2010,Acanthaster planci,LTER 1,3,60,0.0375
2010,Acanthaster planci,LTER 2,1,20,0.0125
2010,Acanthaster planci,LTER 4,2,40,0.025
2010,Culcita novaeguineae,LTER 3,1,20,0.0125
2010,Culcita novaeguineae,LTER 6,1,20,0.0125
2010,Diadema savignyi,LTER 1,5,40,0.0625
2010,Diadema savignyi,LTER 2,1,20,0.0125
2010,Diadema savignyi,LTER 3,13,80,0.1625
2010,Diadema savignyi,LTER 4,135,40,1.6875
2010,Diadema savignyi,LTER 5,7,40,0.0875
2010,Diadema savignyi,LTER 6,9,60,0.1125
2010,Echinometra mathaei,LTER 1,300,80,3.75
2010,Echinometra mathaei,LTER 2,243,80,3.0375
2010,Echinometra mathaei,LTER 3,320,80,4
2010,Echinometra mathaei,LTER 4,48,80,0.6
2010,Echinometra mathaei,LTER 5,136,60,1.7
2010,Echinometra mathaei,LTER 6,73,80,0.9125
2010,Echinostrephus aciculatus,LTER 1,33,60,0.4125
2010,Echinostrephus aciculatus,LTER 2,11,20,0.1375
2010,Echinostrephus aciculatus,LTER 3,6,80,0.075
2010,Echinostrephus aciculatus,LTER 4,16,60,0.2
2010,Echinostrephus aciculatus,LTER 5,74,60,0.925
2010,Echinostrephus aciculatus,LTER 6,12,60,0.15
2010,Echinothrix diadema,LTER 1,10,40,0.125
2010,Echinothrix diadema,LTER 2,2,40,0.025
