year,month,day,reef_type_code,sensor_depth_m,sensor_type,Mean_T,Max_T,Min_T,Range_T,Date
2006,04,08,BAK,2,sb39,29.250882352941176,29.63,29.04,0.5899999999999999,2006-04-08
2006,04,09,BAK,2,sb39,29.28625,29.78,29,0.7800000000000011,2006-04-09
2006,04,10,BAK,2,sb39,29.370555555555555,29.98,29,0.9800000000000004,2006-04-10
2006,04,11,BAK,2,sb39,29.402916666666666,30.05,28.94,1.1099999999999994,2006-04-11
2006,04,12,BAK,2,sb39,29.347361111111113,29.84,29.01,0.8299999999999983,2006-04-12
2006,04,13,BAK,2,sb39,29.239722222222223,29.78,28.74,1.0400000000000027,2006-04-13
2006,04,14,BAK,2,sb39,29.07097222222222,29.58,28.69,0.889999999999997,2006-04-14
2006,04,15,BAK,2,sb39,29.20347222222222,29.69,28.77,0.9200000000000017,2006-04-15
2006,04,16,BAK,2,sb39,29.04138888888889,29.67,28.5,1.1700000000000017,2006-04-16
2006,04,17,BAK,2,sb39,28.88722222222222,29.26,28.57,0.6900000000000013,2006-04-17
2006,04,18,BAK,2,sb39,28.99375,29.31,28.76,0.5499999999999972,2006-04-18
2006,04,19,BAK,2,sb39,28.98361111111111,29.09,28.91,0.17999999999999972,2006-04-19
2006,04,20,BAK,2,sb39,28.98736111111111,29.06,28.86,0.1999999999999993,2006-04-20
2006,04,21,BAK,2,sb39,28.874861111111112,28.93,28.78,0.14999999999999858,2006-04-21
2006,04,22,BAK,2,sb39,28.791944444444443,28.86,28.67,0.18999999999999773,2006-04-22
2006,04,23,BAK,2,sb39,28.713194444444444,28.84,28.62,0.21999999999999886,2006-04-23
2006,04,24,BAK,2,sb39,28.730138888888888,28.88,28.63,0.25,2006-04-24
2006,04,25,BAK,2,sb39,28.70652777777778,28.85,28.57,0.28000000000000114,2006-04-25
2006,04,26,BAK,2,sb39,28.690555555555555,28.92,28.57,0.3500000000000014,2006-04-26
2006,04,27,BAK,2,sb39,28.58638888888889,28.78,28.38,0.40000000000000213,2006-04-27
2006,04,28,BAK,2,sb39,28.649583333333332,29.07,28.39,0.6799999999999997,2006-04-28
2006,04,29,BAK,2,sb39,28.664166666666667,28.96,28.38,0.5800000000000018,2006-04-29
2006,04,30,BAK,2,sb39,28.629583333333333,28.77,28.54,0.23000000000000043,2006-04-30
2006,05,01,BAK,2,sb39,28.761666666666667,29.03,28.56,0.4700000000000024,2006-05-01
2006,05,02,BAK,2,sb39,28.8175,29.06,28.68,0.379999999999999,2006-05-02
2006,05,03,BAK,2,sb39,28.827083333333334,29.2,28.67,0.5299999999999976,2006-05-03
2006,05,04,BAK,2,sb39,29.004305555555554,29.68,28.7,0.9800000000000004,2006-05-04
2006,05,05,BAK,2,sb39,29.126527777777778,29.94,28.74,1.2000000000000028,2006-05-05
2006,05,06,BAK,2,sb39,29.174444444444443,29.93,28.65,1.2800000000000011,2006-05-06
2006,05,07,BAK,2,sb39,29.02513888888889,29.6,28.64,0.9600000000000009,2006-05-07
2006,05,08,BAK,2,sb39,28.896527777777777,29.17,28.74,0.43000000000000327,2006-05-08
2006,05,09,BAK,2,sb39,28.83111111111111,29.15,28.69,0.4599999999999973,2006-05-09
2006,05,10,BAK,2,sb39,28.84777777777778,29.23,28.65,0.5800000000000018,2006-05-10
2006,05,11,BAK,2,sb39,28.89986111111111,29.39,28.62,0.7699999999999996,2006-05-11
