Year,Habitat,Total_percent,Mean_perc_cov,N
2005,Fringing,452,1.5066666666666666,150
2005,Outer 10,212,0.7066666666666667,50
2006,Backreef,620,2.066666666666667,150
2007,Backreef,388,1.2933333333333332,150
2007,Fringing,116,0.38666666666666666,150
2007,Outer 10,252,0.84,100
2008,Backreef,116,0.38666666666666666,150
2008,Fringing,36,0.12,100
2008,Outer 10,208,0.6933333333333334,50
2009,Backreef,120,0.4,150
2009,Fringing,60,0.2,150
2009,Outer 10,16,0.05333333333333334,100
2010,Backreef,324,1.08,200
2010,Fringing,80,0.26666666666666666,50
2010,Outer 10,44,0.14666666666666667,50
2010,Outer 17,0,0,50
2011,Backreef,428,1.4266666666666667,150
2011,Fringing,132,0.44,50
2011,Outer 10,16,0.05333333333333334,50
2012,Backreef,924,3.08,150
2012,Fringing,224,0.7466666666666667,150
2012,Outer 10,24,0.08,50
2012,Outer 17,4,0.013333333333333334,50
2013,Backreef,1308,4.36,250
2013,Fringing,168,0.56,100
2013,Outer 10,36,0.12,50
2014,Backreef,1328,4.426666666666667,200
2014,Fringing,408,1.36,149
2014,Outer 10,288,0.96,50
2015,Backreef,1516,5.053333333333334,250
2015,Fringing,524,1.7466666666666666,150
2015,Outer 10,692,2.3066666666666666,50
2016,Backreef,1564,5.213333333333333,250
2016,Fringing,720,2.4,150
2016,Outer 10,796,2.6533333333333333,50
2017,Backreef,1452,4.84,250
2017,Fringing,948,3.16,100
2017,Outer 10,852,2.84,50
2018,Backreef,1396,4.653333333333333,300
2018,Fringing,784,2.6133333333333333,150
2018,Outer 10,992,3.3066666666666666,50
2019,Backreef,1436,4.786666666666667,300
2019,Fringing,756,2.52,150
2019,Outer 10,1120,3.7333333333333334,50
2019,Outer 17,4,0.013333333333333334,50
2020,Backreef,1812,6.04,300
2020,Fringing,2112,7.04,100
2020,Outer 10,1048,3.493333333333333,50
2020,Outer 17,4,0.013333333333333334,50
