Cruise,Location,Type,Date,Time,Latitude,Longitude,Bottom_Depth,Sample_Depth,Phosphate,Silicate,Nitrite,Nitrite_and_Nitrate,Comments
LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,2005-08-10,08:00,-17.47503,-149.83707,17,1,0.14,0.92,0.04,0.29,na
LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,2005-08-10,09:00,-17.47785,-149.84213,2,1,0.2,0.29,0.11,0.7,na
LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,2005-08-10,09:30,-17.48488,-149.83365,14,1,0.15,0.65,0.08,0.79,na
LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,2005-12-04,08:36,-17.47785,-149.84213,2,1,0.09,0.44,0.08,0.32,na
LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,2005-12-04,09:10,-17.48488,-149.83365,14,1,0.09,0.43,0.11,0.46,na
LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,2005-12-05,11:00,-17.47503,-149.83707,17,1,0.1,0.56,0.07,0.17,na
LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,2006-03-26,08:30,-17.47785,-149.84213,2,1,0.16,0.37,0.03,0.46,na
LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,2006-03-26,09:07,-17.48488,-149.83365,14,1,0.14,0.31,0.03,0.53,na
LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,2006-03-27,09:55,-17.47503,-149.83707,17,1,0.1,0.37,0.05,0.21,na
LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,2006-06-17,08:15,-17.47785,-149.84213,2,1,0.09,0.81,0.07,0.53,na
LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,2006-06-17,08:48,-17.48488,-149.83365,14,1,0.11,0.82,0.06,0.56,na
LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,2006-06-20,09:48,-17.47503,-149.83707,17,1,0.06,0.61,0.05,0.24,na
LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,2006-08-27,11:05,-17.47785,-149.84213,2,1,0.15,0.18,0.07,0.47,na
LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,2006-08-27,08:15,-17.48488,-149.83365,14,1,0.17,0.17,0.09,0.52,na
LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,2006-08-29,10:18,-17.47503,-149.83707,17,1,0.14,0.21,0.25,0.61,na
LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,2006-12-11,10:05,-17.47503,-149.83707,17,1,0.17,1.11,0.02,0.04,na
LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,2006-12-13,10:58,-17.47785,-149.84213,2,1,0.17,0.85,0.04,0.25,na
LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,2006-12-13,08:45,-17.48488,-149.83365,14,1,0.19,0.73,0.06,0.42,na
LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,2007-03-24,10:25,-17.47503,-149.83707,17,1,0.19,3.19,0.08,1.05,na
LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,2007-03-25,11:00,-17.47785,-149.84213,2,1,0.19,2.81,0.07,1.29,na
LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,2007-03-25,08:08,-17.48488,-149.83365,14,1,0.22,2.66,0.1,4.35,na
Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,2007-08-12,15:45,-17.47503,-149.83707,2,0.5,0.19,0.59,0.1,0.34,sunny; no rain in previous 3 days
Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,2007-08-13,08:30,-17.47503,-149.83707,17,0.5,0.17,0.48,0.09,0.27,sunny; strong wind from NE; no rain last 4 days
Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,2007-08-14,10:00,-17.48488,-149.83365,14,0.5,0.16,0.28,0.09,0.26,strong NE wind
LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,2007-08-18,08:45,-17.47503,-149.83707,17,1,0.14,0.65,0.07,0.21,na
LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,2007-08-20,10:35,-17.47785,-149.84213,2,1,0.15,1.39,0.06,0.29,na
LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,2007-08-20,08:10,-17.48488,-149.83365,14,1,0.14,0.73,0.07,0.26,na
Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,2007-08-28,09:30,-17.47785,-149.84213,2,0.5,0.16,0.3,0.04,0.21,clear and sunny; no rain for days
Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,2007-08-28,09:40,-17.48488,-149.83365,14,0.5,0.16,0.3,0.07,0.27,clear and sunny; no rain for days
Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,2007-11-30,12:00,-17.47503,-149.83707,17,0.5,0.12,2.19,0,0.25,rain previous night
Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,2007-12-07,11:30,-17.47785,-149.84213,2,0.5,0.12,1.67,0.14,0.4,overcast; lots of rain last week; strong S wind today
Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,2007-12-07,11:45,-17.48488,-149.83365,14,0.5,0.14,1.62,0.32,0.52,overcast; lots of rain last week; strong S wind today
Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,2007-12-09,10:50,-17.47503,-149.83707,17,0.5,0.13,1.28,0.13,0.36,light rain in morning; sunny previous day
Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,2008-01-08,08:45,-17.48488,-149.83365,14,0.5,0.13,1.09,0.13,0.43,sunny; evening rain 2 days before
Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,2008-01-08,11:45,-17.47503,-149.83707,17,0.5,0.13,2.37,0.13,0.37,sunny; evening rain 2 days before
LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,2008-01-12,11:15,-17.47785,-149.84213,2,1,0.14,1.45,0.13,0.41,na
LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,2008-01-12,08:07,-17.48488,-149.83365,14,1,0.14,1.73,0.32,0.74,na
